portfolio,label,win_rate,profit_factor,pnl,roi_pct,max_dd_pct,daily_wr,consistency,trades,score,params
1000.0,VOL_LOOSE_08,53.5,0.9,-44.57,-4.46,12.9,39.13,-0.0679,86,-1000000044.57,"{""label"":""VOL_LOOSE_08"",""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":0.9,""MIN_SL_DISTANCE"":2.0,""SUPERTREND_LEN"":14,""SUPERTREND_MUL"":3.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":2.0,""PROFIT_LOCK_1"":0.4,""PROFIT_LOCK_2"":0.7,""use_volume_filter"":true,""min_rvol"":0.8}"
1000.0,VOL_STD_10,53.5,0.9,-44.57,-4.46,12.9,39.13,-0.0679,86,-1000000044.57,"{""label"":""VOL_STD_10"",""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":0.9,""MIN_SL_DISTANCE"":2.0,""SUPERTREND_LEN"":14,""SUPERTREND_MUL"":3.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":2.0,""PROFIT_LOCK_1"":0.4,""PROFIT_LOCK_2"":0.7,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,VOL_STRICT_13,53.5,0.9,-44.57,-4.46,12.9,39.13,-0.0679,86,-1000000044.57,"{""label"":""VOL_STRICT_13"",""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":0.9,""MIN_SL_DISTANCE"":2.0,""SUPERTREND_LEN"":14,""SUPERTREND_MUL"":3.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":2.0,""PROFIT_LOCK_1"":0.4,""PROFIT_LOCK_2"":0.7,""use_volume_filter"":true,""min_rvol"":1.3}"
1000.0,WIDE_SL_TIGHT_TP,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_TIGHT_TP"",""SL_ATR_MULT"":2.0,""TP_ATR_MULT"":1.0,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_TP_0.9,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_TP_0.9"",""SL_ATR_MULT"":2.0,""TP_ATR_MULT"":0.9,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_TP_1.1,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_TP_1.1"",""SL_ATR_MULT"":2.0,""TP_ATR_MULT"":1.1,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_TP_1.15,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_TP_1.15"",""SL_ATR_MULT"":2.0,""TP_ATR_MULT"":1.15,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_1.8_TP_1.0,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_1.8_TP_1.0"",""SL_ATR_MULT"":1.8,""TP_ATR_MULT"":1.0,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_2.2_TP_1.0,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_2.2_TP_1.0"",""SL_ATR_MULT"":2.2,""TP_ATR_MULT"":1.0,""MIN_SL_DISTANCE"":3.0,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":1.8,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.5,""use_volume_filter"":true,""min_rvol"":1.0}"
1000.0,WIDE_SL_2.5_TP_1.0,52.2,0.93,-30.56,-3.06,11.4,43.48,-0.0486,90,-1000000030.56,"{""label"":""WIDE_SL_2.5_TP_1.0"",""SL_ATR_MULT"":2.5,""TP_ATR_MULT"":1.0,""MIN_SL_DISTANCE"":3.5,""SUPERTREND_LEN"":7,""SUPERTREND_MUL"":2.0,""RSI_PERIOD"":14,""ADX_PERIOD"":14,""ATR_PERIOD"":14,""CHANDELIER_MULT"":2.0,""PROFIT_LOCK_1"":0.8,""PROFIT_LOCK_2"":1.6,""use_volume_filter"":true,""min_rvol"":1.0}"
